,reference_distance,mesured_distance,signal_strength,delta
0,1.056,1.16,-78.86,0.10399999999999987
1,1.056,1.29,-78.92,0.23399999999999999
2,1.056,1.25,-79.3,0.19399999999999995
3,1.056,1.23,-79.43,0.17399999999999993
4,1.056,1.31,-79.05,0.254
5,1.056,1.3,-79.18,0.244
6,1.056,1.12,-79.9,0.06400000000000006
7,1.056,1.37,-79.23,0.31400000000000006
8,1.056,1.3,-79.17,0.244
9,1.056,1.22,-78.4,0.16399999999999992
10,1.056,1.18,-78.75,0.12399999999999989
11,1.056,1.29,-78.14,0.23399999999999999
12,1.056,1.3,-78.02,0.244
13,1.056,1.19,-78.17,0.1339999999999999
14,1.056,1.21,-78.39,0.15399999999999991
15,1.056,1.22,-78.99,0.16399999999999992
16,1.056,1.18,-78.66,0.12399999999999989
17,1.056,1.2,-79.13,0.1439999999999999
18,1.056,1.25,-78.83,0.19399999999999995
19,1.056,1.22,-78.84,0.16399999999999992
20,1.056,1.22,-78.84,0.16399999999999992
21,1.056,1.33,-79.03,0.274
22,1.056,1.24,-79.5,0.18399999999999994
23,1.056,1.25,-79.1,0.19399999999999995
24,1.056,1.25,-79.16,0.19399999999999995
25,1.056,1.16,-78.87,0.10399999999999987
26,1.056,1.17,-78.84,0.11399999999999988
27,1.056,1.14,-79.27,0.08399999999999985
28,1.056,1.13,-79.16,0.07399999999999984
29,1.056,1.21,-79.62,0.15399999999999991
